2theta,simulated,2theta,real copy,2theta,real
12.42,21.0161,10.1729,2071.721,10.1729,2071.721
12.44,20.257,10.1949,2071.596,10.1949,2071.596
12.46,19.5384,10.2169,2044.25,10.2169,2044.25
12.48,18.8576,10.2389,2085.832,10.2389,2085.832
12.5,18.2118,10.2609,2170.767,10.2609,2170.767
12.52,17.5987,10.2829,2255.279,10.2829,2255.279
12.54,17.0162,10.3049,2362.344,10.3049,2362.344
12.56,16.4622,10.3269,2397.186,10.3269,2397.186
12.58,15.9349,10.3489,2444.032,10.3489,2444.032
12.6,15.4327,10.3709,2532.366,10.3709,2532.366
12.62,14.9538,10.3929,2638.801,10.3929,2638.801
12.64,14.497,10.4149,2734.481,10.4149,2734.481
12.66,14.0609,10.4369,2845.189,10.4369,2845.189
12.68,13.6441,10.4589,3053.463,10.4589,3053.463
12.7,13.2457,10.4809,3143.694,10.4809,3143.694
12.72,6.71281,10.5029,3436.34,10.5029,3436.34
12.74,6.5128,10.5249,3686.841,10.5249,3686.841
12.76,6.286,10.5469,3928.232,10.5469,3928.232
12.78,6.10403,10.5689,4363.329,10.5689,4363.329
12.8,5.92984,10.5909,4830.048,10.5909,4830.048
12.82,5.763,10.6129,5429.238,10.6129,5429.238
12.84,5.6031,10.6349,5823.425,10.6349,5823.425
12.86,3.84862,10.6569,6482.707,10.6569,6482.707
12.88,0.0,10.6789,6754.154,10.6789,6754.154
12.9,0.0,10.7009,7114.582,10.7009,7114.582
12.92,0.0,10.7229,7339.248,10.7229,7339.248
12.94,4.70498,10.7449,7738.808,10.7449,7738.808
12.96,4.83847,10.7669,8496.337,10.7669,8496.337
12.98,4.97772,10.7889,9440.924,10.7889,9440.924
13.0,5.12306,10.8109,10606.05,10.8109,10606.05
13.02,5.27486,10.8329,10711.43,10.8329,10711.43
13.04,5.43351,10.8549,9211.099,10.8549,9211.099
13.06,5.59942,10.8769,6422.036,10.8769,6422.036
13.08,5.77305,10.8989,4489.183,10.8989,4489.183
13.1,5.95487,10.9209,3405.074,10.9209,3405.074
13.12,6.14541,10.9429,2832.457,10.9429,2832.457
13.14,6.60506,10.9649,2584.545,10.9649,2584.545
13.16,16.3673,10.9869,2397.699,10.9869,2397.699
13.18,16.8659,11.0089,2243.297,11.0089,2243.297
13.2,17.3879,11.0309,2220.281,11.0309,2220.281
13.22,17.9347,11.0529,2270.631,11.0529,2270.631
13.24,18.5079,11.0749,2168.485,11.0749,2168.485
13.26,19.1092,11.0969,2115.019,11.0969,2115.019
13.28,19.7405,11.1189,2088.876,11.1189,2088.876
13.3,20.4039,11.1409,2070.024,11.1409,2070.024
13.32,21.1016,11.1629,2104.802,11.1629,2104.802
13.34,21.8359,11.1849,2168.758,11.1849,2168.758
13.36,22.6097,11.2069,2170.792,11.2069,2170.792
13.38,23.4257,11.2289,2053.703,11.2289,2053.703
13.4,24.2872,11.2509,2016.089,11.2509,2016.089
13.42,25.1975,11.2729,2093.127,11.2729,2093.127
13.44,26.1605,11.2949,2083.208,11.2949,2083.208
13.46,27.1804,11.3169,2056.208,11.3169,2056.208
13.48,28.2619,11.3389,2050.48,11.3389,2050.48
13.5,29.4099,11.3609,2056.447,11.3609,2056.447
13.52,30.6302,11.3829,2022.366,11.3829,2022.366
13.54,31.9291,11.4049,1918.421,11.4049,1918.421
13.56,33.3135,11.4269,1983.226,11.4269,1983.226
13.58,34.7912,11.4489,2075.549,11.4489,2075.549
13.6,36.371,11.4709,2065.625,11.4709,2065.625
