№	Полож. [°2θ]	Iнабл [имп]	Iрассчетн [имп]	Iзадн [имп]	ПСО	Межплоскостное расстояние D	ВП [с]
455	11.9989	2025.3660			45.0041	7.3700	97.9200
456	12.0209	2027.5970			45.0288	7.3565	97.9200
457	12.0429	1973.4600			44.4236	7.3431	97.9200
458	12.0649	1975.8510			44.4505	7.3298	97.9200
459	12.0869	2024.5770			44.9953	7.3165	97.9200
460	12.1089	2002.2210			44.7462	7.3033	97.9200
461	12.1309	2060.4280			45.3919	7.2901	97.9200
462	12.1529	2096.3380			45.7858	7.2769	97.9200
463	12.1749	2070.6110			45.5040	7.2638	97.9200
464	12.1969	2106.9720			45.9018	7.2508	97.9200
465	12.2189	2121.6730			46.0616	7.2378	97.9200
466	12.2409	2068.2110			45.4776	7.2248	97.9200
467	12.2629	2037.0860			45.1341	7.2119	97.9200
468	12.2849	2069.2560			45.4891	7.1990	97.9200
469	12.3069	2021.0710			44.9563	7.1862	97.9200
470	12.3289	1995.6480			44.6727	7.1734	97.9200
471	12.3509	2004.8750			44.7758	7.1607	97.9200
472	12.3729	1970.1240			44.3861	7.1480	97.9200
473	12.3949	2010.4870			44.8385	7.1354	97.9200
474	12.4169	2029.5090			45.0501	7.1228	97.9200
475	12.4389	2007.0470			44.8001	7.1102	97.9200
476	12.4609	1964.2790			44.3202	7.0977	97.9200
477	12.4829	1974.0110			44.4298	7.0853	97.9200
478	12.5049	2001.1590			44.7343	7.0729	97.9200
479	12.5269	1974.3710			44.4339	7.0605	97.9200
480	12.5489	1977.0990			44.4646	7.0482	97.9200
481	12.5709	2007.6900			44.8073	7.0359	97.9200
482	12.5929	1965.4000			44.3328	7.0236	97.9200
483	12.6149	2099.6430			45.8219	7.0114	97.9200
484	12.6369	2007.0400			44.8000	6.9993	97.9200
485	12.6589	1903.2150			43.6259	6.9872	97.9200
486	12.6809	2016.2230			44.9024	6.9751	97.9200
487	12.7029	2027.8140			45.0313	6.9631	97.9200
488	12.7249	2101.9310			45.8468	6.9511	97.9200
489	12.7469	2146.9140			46.3348	6.9391	97.9200
490	12.7689	2106.2360			45.8937	6.9272	97.9200
491	12.7909	2032.7290			45.0858	6.9154	97.9200
492	12.8129	2020.4070			44.9489	6.9035	97.9200
493	12.8349	2007.0680			44.8003	6.8917	97.9200
494	12.8569	2071.2010			45.5105	6.8800	97.9200
495	12.8789	2111.6710			45.9529	6.8683	97.9200
496	12.9009	2181.3850			46.7053	6.8566	97.9200
497	12.9229	2147.0110			46.3358	6.8450	97.9200
498	12.9449	2196.4990			46.8668	6.8334	97.9200
499	12.9669	2221.4750			47.1325	6.8219	97.9200
500	12.9889	2261.5940			47.5562	6.8104	97.9200
501	13.0109	2314.7840			48.1122	6.7989	97.9200
502	13.0329	2348.6790			48.4632	6.7875	97.9200
503	13.0549	2423.9280			49.2334	6.7761	97.9200
504	13.0769	2496.4850			49.9648	6.7647	97.9200
505	13.0989	2564.8940			50.6448	6.7534	97.9200
506	13.1209	2712.5690			52.0823	6.7422	97.9200
507	13.1429	2904.8380			53.8965	6.7309	97.9200
508	13.1649	3086.0180			55.5519	6.7197	97.9200
509	13.1869	3309.0620			57.5244	6.7086	97.9200
510	13.2089	3568.2230			59.7346	6.6974	97.9200
511	13.2309	3838.9440			61.9592	6.6863	97.9200
512	13.2529	4028.1850			63.4680	6.6753	97.9200
513	13.2749	4427.1330			66.5367	6.6643	97.9200
514	13.2969	4998.8900			70.7028	6.6533	97.9200
515	13.3189	5717.2350			75.6124	6.6424	97.9200
516	13.3409	6289.1830			79.3044	6.6315	97.9200
517	13.3629	7016.6500			83.7654	6.6206	97.9200
518	13.3849	8036.4330			89.6462	6.6098	97.9200
519	13.4069	9305.2000			96.4635	6.5990	97.9200
520	13.4289	10816.0800			104.0004	6.5882	97.9200
521	13.4509	12275.8700			110.7965	6.5775	97.9200
522	13.4729	13371.3900			115.6347	6.5668	97.9200
523	13.4949	14692.5800			121.2129	6.5561	97.9200
524	13.5169	16205.2700			127.2999	6.5455	97.9200
525	13.5389	18164.2500			134.7748	6.5349	97.9200
526	13.5609	20550.8200			143.3556	6.5244	97.9200
527	13.5829	22337.1000			149.4560	6.5139	97.9200
528	13.6049	21388.6800			146.2487	6.5034	97.9200
529	13.6269	17307.8300			131.5592	6.4929	97.9200
530	13.6489	11978.7500			109.4475	6.4825	97.9200
531	13.6709	7522.3770			86.7316	6.4721	97.9200
532	13.6929	5060.5290			71.1374	6.4618	97.9200
533	13.7149	3906.0930			62.4987	6.4515	97.9200
534	13.7369	3322.8310			57.6440	6.4412	97.9200
535	13.7589	3010.7930			54.8707	6.4309	97.9200
536	13.7809	2838.1570			53.2744	6.4207	97.9200
537	13.8029	2816.5160			53.0709	6.4105	97.9200
538	13.8249	2749.9560			52.4400	6.4004	97.9200
539	13.8469	2727.9800			52.2301	6.3903	97.9200
540	13.8689	2766.3720			52.5963	6.3802	97.9200
541	13.8909	2783.2830			52.7568	6.3701	97.9200
542	13.9129	2852.9460			53.4130	6.3601	97.9200
543	13.9349	2989.9100			54.6801	6.3501	97.9200
544	13.9569	3071.6580			55.4225	6.3401	97.9200
545	13.9789	3150.5150			56.1295	6.3302	97.9200
546	14.0009	3371.4230			58.0640	6.3203	97.9200
547	14.0229	3626.7520			60.2225	6.3104	97.9200
548	14.0449	3824.2840			61.8408	6.3006	97.9200
549	14.0669	3959.7890			62.9269	6.2908	97.9200
550	14.0889	4173.4600			64.6023	6.2810	97.9200
551	14.1109	4431.8610			66.5722	6.2713	97.9200
552	14.1329	4775.1430			69.1024	6.2616	97.9200
553	14.1549	5054.1650			71.0927	6.2519	97.9200
554	14.1769	5347.0860			73.1238	6.2422	97.9200
555	14.1989	4982.3380			70.5857	6.2326	97.9200
556	14.2209	4069.5020			63.7926	6.2230	97.9200
557	14.2429	3227.6070			56.8120	6.2135	97.9200
558	14.2649	2759.0920			52.5271	6.2039	97.9200
559	14.2869	2388.9730			48.8771	6.1944	97.9200
560	14.3089	2312.7500			48.0911	6.1849	97.9200
561	14.3309	2179.2000			46.6819	6.1755	97.9200
562	14.3529	2253.3190			47.4691	6.1661	97.9200
563	14.3749	2177.7810			46.6667	6.1567	97.9200
564	14.3969	2238.9100			47.3171	6.1473	97.9200
565	14.4189	2093.9910			45.7601	6.1380	97.9200
566	14.4409	2134.0000			46.1952	6.1287	97.9200
567	14.4629	2174.3130			46.6295	6.1194	97.9200
568	14.4849	2122.7030			46.0728	6.1102	97.9200
569	14.5069	2100.3920			45.8300	6.1010	97.9200
570	14.5289	2108.9420			45.9232	6.0918	97.9200
571	14.5509	2145.3100			46.3175	6.0826	97.9200
572	14.5729	2029.6000			45.0511	6.0735	97.9200
573	14.5949	2065.6270			45.4492	6.0644	97.9200
574	14.6169	2183.3950			46.7268	6.0553	97.9200
575	14.6389	2234.7970			47.2736	6.0463	97.9200
576	14.6609	2194.6430			46.8470	6.0372	97.9200
577	14.6829	2165.9820			46.5401	6.0282	97.9200
578	14.7049	2220.4580			47.1217	6.0193	97.9200
579	14.7269	2305.3550			48.0141	6.0103	97.9200
580	14.7489	2319.0970			48.1570	6.0014	97.9200
581	14.7709	2329.4610			48.2645	5.9925	97.9200
